__label__1	"b""Dan Katzir has produced a wonderful film that takes us on a roller-coaster ride through a real romance set in the troubles surrounding modern Israel.<br /><br />For anyone who's ever been in love, the film brings back the uncertainties, the insecurities and heartache that make love so bitter-sweet. The atmosphere of fear and isolation that came with the difficult times in Israel at that time just serve to intensify the feeling. Instantly, you are drawn in to Dan's plight, and you can't fail to be deeply moved.<br /><br />You can't write drama and passion like this - the contrast between the realities of Dan's desperate, snatched relationship with Iris, and the realities of a state in turmoil make this eminently watchable. If you have an ounce of passion, and have ever been in love, see this film."""
__label__1	"b'If you want Scream or anything like the big-studio horror product that we get forced on us these days don\'t bother. This well-written film kept me up thinking about all it had to say. Importance of myth in our lives to make it make sense, how children interpret the world (and the violence in it), our ransacking of the environment and ignorance of its history and legends.. all here, but not flatly on the surface. You could technically call it a ""monster movie"" even though the Wendigo does not take physical form until the end, and then it\'s even up to you and your beliefs as to what\'s happening with the legendary spirit/beast. Some standard thriller elements for those looking just for the basics and the film never bores, though in fact the less you see of the creature, the better. Fessenden successfully continues George Romero\'s tradition of using the genre as parable and as a discussion forum while still keeping us creeped out.'"
__label__0	"b""Outlandish premise that rates low on plausibility and unfortunately also struggles feebly to raise laughs or interest. Only Hawn's well-known charm allows it to skate by on very thin ice. Goldie's gotta be a contender for an actress who's done so much in her career with very little quality material at her disposal...<br /><br />"""
__label__0	"b'Let\'s face it-- if you rented a STDVD sequel of a forgotten 80\'s gem, and expected it to be better than the aforementioned, then you are an idiot. Wargames: The Dead Code joins the long running list of unnecessary sequels that the DVD market has filled so easily. Movies like this don\'t need spoilers, because YOU already know them.<br /><br />The ""plot"" for this ""film"", is as follows: Nerd meets girl; girl likes nerd; nerd likes girl; nerd gets accidentally involved with Top Secret Government computer; nerd and girl go to another country; nerd and girl end up being persecuted by Government suits in the other country; nerd and girl meet some important old guy that dies at key point in the ""film""; nerd and girl are captured; the Top Secret Government computer gets crazy; nerd is hired to beat Top Secret Government Computer; nerd beats Top Secret Computer by using the same old Top Secret Computer from the first Wargames ""film""; nerd saves the day; nerd gets laid. <br /><br />The end.<br /><br />The acting, script, effects, score, and cinematography are what you would expect-- B-grade. Some familiar faces are in here, and unless you are a mega fan of Colm Feore, then you should avoid this one. Granted, the movie won\'t make you insane enough to eat your own toes by seeing it, so if you like cheap looking STDVD sequels, then you are right at home.<br /><br />Sadly, Mathew Broderick was too involved with some ""masterpiece"", that he couldn\'t even do a five second cameo in this one. But can you blame him?'"
__label__0	"b'Bizarre Tobe Hooper exercise regarding an unfortunate young man(Brad Dourif)with the ability to set people on fire. This ability stems from parents who partook in atomic experiments in the 50\'s. They die of Spontaneous Human Combustion and it seems that what Sam is beginning to suffer from derives by these pills his girlfriend, Lisa(Cynthia Bain)gives him to take for rough migraines. In actuality, Lisa was told to manipulate Sam into taking the pills by Lew Orlander(William Prince), pretty much the young man\'s father who raised him from a child. Lew has benevolent plans..he sees Sam as the first ""Atomic Man"", a pure killing machine in human form. Sam never wanted this and will do whatever it takes to silence those responsible for his condition. As the film goes, Sam\'s blood is slowly growing toxic, green in color instead of red. It seems that water and other substances which often put out fire react right the opposite when Sam\'s uncontrollable outbursts of flame ignite. Come to find out, Lisa has Sam\'s condition whose parents also dies from SHC. Dr. Marsh(Jon Cypher), someone who Sam has known for quite some time as his physician, is to insert toxic green fluid into their bodies, I\'m guessing to increase their levels of flame. Nina(Melinda Dillon, sporting an accent that fades in and out)was Sam\'s parents\' friend and associate on the experiments in the 50\'s who tries to talk things over with him regarding what is happening. And, Rachel(Dey Young)is Sam\'s ex-wife who may be working against her former husband with Lew and Marsh to harm him and Lisa.<br /><br />Quite a strange little horror flick, filled with some pretty awful flame-effects. Dourif tries to bring a tragic element and intensity to his character whose plight we continue to watch as his body slowly becomes toxic waste with fire often igniting from his orifices. There\'s this large hole in his arm that spits out flame like a volcano and a massive burn spot on his hand which increases in size over time. Best scene is probably when director John Landis, who portrays a rude electrical engineer trying to inform Sam to hang up because the radio program he\'s calling has sounded off for the night, becomes a victim of SHC. The flick never quite works because it\'s so wildly uneven with an abrupt, ridiculous finale where Sam offers to free Lisa of her fire by taking it from her.'"
__label__0	"b'Well, maybe the PC version of this game was impressive. Maybe. I just finished playing the PS2 version and it\'s pretty much a complete mess.<br /><br />There are a couple elements that are okay or promising. I\'ll mention those first because it will be over quickly. First, the idea of a historical GTA-like game is a great one. The game Gun was a historical GTA-like game and unlike Mafia, Gun was excellent. I\'d love to see a game set during Mafia\'s era done right. Next, the storyline is well written. The story makes sense, it has dramatic arcs, it uses an unusual device (with much of the game being a backstory) and it\'s interesting. Finally, some of the graphics--especially those used during cutscenes--are impressive. Mafia\'s designers seemed to focus on getting the graphics right in the places where GTA skimped on that effort, especially the characters. Unfortunately in many other areas, the graphics kinda stink, and I\'d much rather have excellent gameplay than impressive-looking characters.<br /><br />The gameplay is what sinks this title so low. First off, the controls and camera absolutely suck. That has to be the first focus of any game developers. You can\'t release a game where the controls and/or camera suck. Number one, there\'s no reason that the player\'s character, Tom, can\'t have his full range of motion controlled by the left analog stick. Unless it\'s absolutely necessary, and it hardly ever is, I hate the set-up where the left stick moves the character in a ""strafing"" way and the character can only turn using the right analog stick. Here, it\'s not only unnecessary, it makes most of the simplest actions a challenge. For example, Tom has to climb on a couple missions. But the game is designed so poorly that you have to frustratingly keep manipulating both the right analog stick and the camera, and then press L1 every time you need to climb, or Tom will descend instead.<br /><br />Next, I\'ve never seen a worse fighting system. The first problem is that you can\'t auto-aim or lock on to any targets. At one early point, the game seems to tell you that you can use L2 or R2 to lock on to targets, but that never worked. So to focus on any enemy, you have to struggle with the stupid right analog stick and try to keep adjusting both the character\'s orientation and the camera, which tends to drift to the wrong angle or make Tom disappear all the time. By that time, you\'re probably getting pummeled or shot to death.<br /><br />Next, if you\'re touching or almost touching an enemy--and that\'s certainly going to be the case for hand to hand combat or when using melee weapons, the fighting system--which primarily consists of tapping or holding R1, is completely useless. Enemies can pummel you almost in a bear hug, but you just can\'t move unless you back off. So close fighting tends to consist of you yanking on the left analog stick, yelling at the character to move away, which it won\'t do 50% of the time, then tapping R1 as much as you can before the enemy gets too close again and makes R1 useless. And if the enemy changes their angle to you in the meantime, you\'re also going to struggle with the right analog stick to get your character oriented in the right way and to get the camera in position so you can see anything. By that time, you\'re probably getting pummeled or shot again, and your only option will be to try to move the character away again. My fights often consisted of making Tom run circles around an area like a comedy film, hoping that I could gain enough time to struggle with the analog stick and get a couple shots in before being at the AI\'s mercy again. So much for realistic fighting.<br /><br />And the same problems and more exist when trying to fight with guns. If you\'re touching someone, half the time the controller just won\'t allow you to fire off a shot, yet they can still riddle you full of holes. Additionally, there\'s no auto-aim, and the aiming system is ridiculously sensitive, even with the sensitivity set to zero under Options. Gunfights tend to consist of you hopelessly trying to aim or move away while the enemy puts shot after shot into you. Luckily or not, damage seems to be recorded almost randomly. It can take one to ten shots or more to incapacitate any character, and there\'s no rhyme or reason to it. You can put five shots into an enemy\'s head and near point blank range and they\'ll still return fire and hurt you. Yet, the game designers seemed to care enough about realism than they built a recoil into your aiming system, so after shots with powerful enough guns, your aim will float off target, and you\'ll have to fight with it again.<br /><br />As for the celebrated graphics, except for the characters and textures that you\'re close to, they\'re actually pretty disappointing. The distance always seems mostly empty, and there are often expanses of flat colors and textures nearby when you\'re driving. The city wasn\'t very well designed. It\'s not varied enough, and there aren\'t many interesting things to see or do. The cars seem slow and they\'re difficult to control. They also all drive about the same. Some have mentioned the music, but that was also pretty nondescript. A much better job could have been done on that end. Also, as many others have mentioned, the load times are ridiculous and constant. They tend to be over a minute long, and they occur between and in the middle of everything--even races.<br /><br />Overall, the Mafia port to PS2, at least, seems to have been very rushed. The game feels and plays like an incomplete hack job.'"
__label__0	"b'Watching ""Kroko"" I would have liked to leave the cinema very much for the first time in my life. I would not recommend to watch this movie: flat main characters - absolutely no development e.g. Kroko the metaphoric German problem child remains a pure metaphor without any capability of positive involvement despite several plot-wise chances to do so. Uninspired actors, non-evolving plot. I guess the movie attempted an environmental survey but did not succeed: camera appeared shaky rather than motivated. Pictures were low - contrast, gray and dark - i am sure deliberately but the components did not add up to a convincing impression of the social milieu. The story had certain potential though, it could have made a good short story.'"
__label__1	"b""First of all, I have to start this comment by saying I'm a huge Nightmare on Elm Street fan. I think it's the greatest horror series ever. For me, Freddy is the boogeyman! Of course, Freddy's Dead, which tried to be the last chapter back then, is a weird movie. It doesn't have the same atmosphere than the previous films. Freddy has a lot of screen time. Some think it makes him less scary, which I do agree. And that's, in my opinion, exactly the point. This movie exists so we can know Freddy a little better, who he is, who he were, how he became the man haunting our dreams. For some people, it's a bad thing, it's better if we never know because it's scarier not to know why evil is evil. Obviously those people won't like Rob Zombie's remake of Halloween. To truly enjoy this one, you have to see things differently. It's not about a strange guy hiding in the bush of your dreamland waiting to scare the hell out of you. This was the first one, and it was awesome. As the years passed by, Freddy killed more and more people, and nobody could ever get rid of him for good. Now it's time to learn about the nature of this evil, the psychological aspects of Freddy's realm of terror. Beside the story of Freddy's past, I also really liked the atmosphere of the movie. No more kids in Springwood, only crazy grown-ups. The nightmare scenes are all great. The soundtrack is awesome, especially the opening song called ''I'm Awake Now'' performed by Goo Goo Dolls. In my opinion, The Final Nightmare is a horror masterpiece and I can't believe it's so underrated. Maybe it is misunderstood, or I have different tastes! Anyway, all Freddy fans should watch it. It has a lot of scary moments as well as funny moments too, and a lot of cameos! Get yourself ready for something different and you might not be disappointed."""
__label__0	"b""Very much a film from the times -- extremely long sequences with no dialogue, bad flashbacks, and an almost entirely male cast. The two women who appear have a total of under 10 lines and exist only as romantic interests for men.<br /><br />O'Toole is riveting whenever he speaks; unfortunately, he spends much of his time peering through shrubbery. Alastair Sims is always a joy to see but he, too, is terribly underused.<br /><br />The film has one additional positive aspect, in that it depicts many aspects of British fascism and fascist sympathies (such as the casual appearance of the Mosley graffiti) that many people today are unaware of. Too many of today's films about WWII paint the Allies as all-good and the Axis as all-evil, when history tells us people are far more complicated than that!<br /><br />This would be a good movie for when you're recovering from the flu and are bundled on the couch and not able to absorb anything too complex. If you just need something to pass the time while your electrolytes stabilize, this is the movie for you."""
__label__1	"b'""The Invisible Ray"" is part science fiction and part horror. It was also the third of seven Karloff/Lugosi features. In this entry the dominant role goes to Boris Karloff.<br /><br />Through specially designed astronomical equipment, Dr. Janos Rukh (Karloff) demonstrates to colleagues Dr. Felix Benet (Bela Lugosi), Sir Frances Stevens (Walter Kingsford), his wife Lady Stevens (Beulah Bondi) and their nephew Ronald Drake (Frank Lawton), that a meteorite containing a powerful element, landed on the African continent many millions of years in the past. Rukh impresses his guests who invite him to accompany them on an expedition to Africa to find the mysterious element.<br /><br />Rukh goes off on his own and discovers the place where the meteorite landed and the element which he names ""Radium X"". Due to Rukh\'s long absences, his comely young wife Diana (Frances Drake) becomes attracted to Drake and the two fall in love. Meanwhile Rukh becomes contaminated by Radium X to the point that anyone he touches will die instantly. The contamination causes his skin to emit a bright glow in the dark.<br /><br />Rukh goes to Benet for help. Benet devises an antidote which if taken on a daily basis, will provide temporary immunity to the element. Unfortuneatly, the deadly element also affects Rukh\'s brain, slowly turning him into a vindictive murderer.<br /><br />While Rukh is continuing his work, Sir Frances takes news of the discovery back to France. Diana and Ronald accompany him. When Benet informs him of this action, Rukh accuses the party of betraying him and his discovery and secretly plans his revenge. When he returns to France he learns of the healing power of Radium X as he cures his mother\'s (Violet Kemble Cooper) blindness and of Benet\'s work in curing the maladies of his patients.<br /><br />But Rukh\'s madness intensifies. First he murders an innocent man whom is identified as Rukh. Upon hearing of Rukh\'s apparent demise, Diana and Ronald marry. This angers Rukh and he begins to exact his revenge on the five other members of the expedition. One night he is lured into a trap set by Benet and...........<br /><br />Karloff is excellent in the lead role moving from a happily married ambitious scientist to a raving maniac. Lugosi has a straight role for once and does what he can with the limited part.<br /><br />At 79 minutes this film was the second longest of the six Karloff/Lugosi collaborations. Karloff\'s film all the way.'"
